"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS","KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS",124,-0.279522857790007,-2.4630825770644,5.80250049264134e-06,6.64650056429827e-05,3.38710555072844e-05,5013,"tags=51%, list=31%, signal=36%","7332/7324/9039/57154/23327/140739/26259/4591/9040/868/9616/51434/51588/5371/7321/10393/8697/7320/10054/26091/63893/9690/51343/9817/7317/330/25898/329/10277/89910/6921/51529/8881/7325/7189/64326/4193/10055/55958/92912/25847/7428/55585/9978/7319/10477/9246/3093/118424/23295/51433/8924/6923/9063/7318/7327/867/7334/11060/6500/1642/51465/7323"
"KEGG_RNA_DEGRADATION","KEGG_RNA_DEGRADATION",55,-0.370694329830137,-2.60176459812829,1.00586748270782e-05,0.000105616085684321,5.38227337238394e-05,5418,"tags=64%, list=33%, signal=43%","5393/5073/51010/22894/11340/11044/6499/51690/27258/4849/27257/11157/9337/55802/80349/3329/9125/10438/10200/51691/51013/118460/3313/64895/23644/84186/4850/57472/5394/219988/22803/10914/29883/23019/167227"
"KEGG_TIGHT_JUNCTION","KEGG_TIGHT_JUNCTION",82,-0.318678782498996,-2.52213457274367,1.99447792402947e-05,0.000193310937252087,9.85126747901196e-05,3711,"tags=48%, list=23%, signal=37%","6237/8573/5583/81/1459/8531/10000/4627/2773/1499/4628/2037/4636/5580/5581/6714/387/5519/64398/6709/998/5516/60412/9414/1460/103910/55844/8189/1457/50848/5728/87/2035/5579/10627/4893/9218/5515/3059"
"KEGG_LYSOSOME","KEGG_LYSOSOME",111,-0.277439933865586,-2.37888939372951,2.3905279705158e-05,0.000215147517346422,0.000109640756542454,7874,"tags=68%, list=48%, signal=36%","130340/53/5641/10577/10239/1174/54/411/6448/533/1513/23431/23659/537/535/10717/164/10312/1514/4668/1512/3073/1777/2760/8218/2629/285362/410/4891/2517/11154/1509/138050/5538/2581/256471/51606/175/9741/7805/2588/23545/1203/3074/950/427/2720/2990/1211/1520/5660/4126/1519/26088/23163/3920/26985/1522/8943/4864/1176/22901/9583/6556/3423/3916/162/8905/23062/2799/1075/967/3988/8763/1200/1508"
"KEGG_INSULIN_SIGNALING_PATHWAY","KEGG_INSULIN_SIGNALING_PATHWAY",111,-0.275302966406383,-2.36056611505576,3.21296072058992e-05,0.000269019352210414,0.000137094239639392,2828,"tags=38%, list=17%, signal=32%","6198/2997/5295/3098/5296/31/5566/79660/7248/5571/1977/5567/57521/9470/3635/5170/2932/5256/2203/23265/5293/2475/867/5836/8569/3643/5576/801/10211/2308/5594/5604/5770/5501/8660/1399/4893/5894/23533/2889/6194/805"
"KEGG_PATHWAYS_IN_CANCER","KEGG_PATHWAYS_IN_CANCER",227,-0.209281973577523,-2.08828714465666,3.41611875822747e-05,0.000269019352210414,0.000137094239639392,7930,"tags=63%, list=48%, signal=33%","5290/7482/7157/7186/2535/3716/8772/7187/1030/1870/7423/1495/27148/2033/9134/4087/2034/6256/4436/6502/5336/4286/3082/3912/6772/3913/5900/6789/5970/54205/11186/7188/1856/5599/2335/6934/5337/8554/596/355/3914/8517/2735/5578/3066/2885/3091/54583/1612/4437/7855/8321/369/5468/6257/51684/1441/868/51588/2353/5371/2322/5294/26060/1438/8643/613/8312/675/5467/3728/3480/112398/3551/581/10000/1499/330/5295/329/3065/861/8030/7704/637/5296/836/6921/1857/2271/5747/10342/387/5899/1021/5898/7189/4193/10928/1488/4292/841/998/7428/3326/7184/9978/25/1436/5879/7040/6776/6923/2932/9063/1027/5293/2475/867/5728/7422/2308/5594/5604/405/7046/1399/5579/6777/4893/5894/1026/5914/23533/3320/8031/6774/7048/7170/83593/5743/3576"
"KEGG_CARDIAC_MUSCLE_CONTRACTION","KEGG_CARDIAC_MUSCLE_CONTRACTION",43,-0.392836727116298,-2.52403001337376,5.75800187409132e-05,0.000409096061667194,0.000208478360582279,3649,"tags=56%, list=22%, signal=44%","7381/7171/7388/1349/483/7385/27089/4519/29796/10479/1340/7386/9167/10975/1329/1345/1347/1337/1350/476/488/4512/1327/7170"
"KEGG_VIRAL_MYOCARDITIS","KEGG_VIRAL_MYOCARDITIS",51,-0.361173371045207,-2.47838170717963,5.84422945238849e-05,0.000409096061667194,0.000208478360582279,3009,"tags=47%, list=18%, signal=39%","4627/4628/3113/637/836/1981/3127/3383/3123/841/27/1604/25/5879/3109/2534/1982/3134/3122/3106/3105/3115/3107/3133"
"KEGG_ERBB_SIGNALING_PATHWAY","KEGG_ERBB_SIGNALING_PATHWAY",71,-0.312126101432425,-2.35645449950155,7.28314429673319e-05,0.000482987463888622,0.000246133962382673,5044,"tags=54%, list=31%, signal=37%","5578/5062/2885/4690/369/868/5294/8440/10000/6198/5295/5296/3084/5747/6714/6416/27/374/25/6776/2932/1027/817/5293/2475/867/5594/5604/1399/5579/6777/4893/5058/5894/1026/23533/1839/2069"
"KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS","KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS",89,-0.293056209307247,-2.37088832561986,9.1671054179276e-05,0.000577527641329439,0.000294312331838728,5094,"tags=53%, list=31%, signal=37%","9103/5578/8395/81873/1785/65108/1794/10163/5294/3985/2213/8976/3984/10000/10552/2214/10109/6198/5295/5296/2934/5580/5581/7410/2212/998/8394/9846/653361/2209/5879/3635/7454/5293/10059/6850/5594/5604/1399/5579/5058/5894/23533/382/10094/10092/4082"
"KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION","KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION",82,-0.295479640653238,-2.33852850632049,0.000156989246553965,0.000941935479323787,0.000480017245102348,3856,"tags=46%, list=23%, signal=36%","5294/7852/3684/81/5908/1500/4267/2773/1499/5295/4636/5296/2185/7410/5747/387/4689/4478/3383/6494/3676/998/103910/653361/1432/7430/5879/50848/5293/1536/87/4688/5579/10627/5906/23533/7414/83593"
"KEGG_VIBRIO_CHOLERAE_INFECTION","KEGG_VIBRIO_CHOLERAE_INFECTION",44,-0.367699388594984,-2.38491190803389,0.000166682291755002,0.000954634943687738,0.000486488985505029,7520,"tags=77%, list=46%, signal=42%","115/109/71/533/5336/90423/29927/537/535/10312/5578/5613/11015/10952/9296/51606/6558/523/23545/245973/529/5566/51382/528/5567/23480/9601/9414/11014/526/8992/5579/9550/30001"
"KEGG_REGULATION_OF_ACTIN_CYTOSKELETON","KEGG_REGULATION_OF_ACTIN_CYTOSKELETON",147,-0.230292970073855,-2.11669702448851,0.000203676148680021,0.00111579107537751,0.000568615334987702,5068,"tags=46%, list=31%, signal=32%","1730/23365/5062/8395/81873/369/55845/10163/5962/3695/22808/5294/6237/3985/8976/3684/81/3682/3984/4627/10552/10109/4628/5295/50649/4636/56034/5296/2934/7410/5747/387/4478/3676/998/8394/2768/7074/103910/89846/7430/5879/54434/9459/7114/7454/929/5293/10672/5305/87/9138/8874/5594/1729/5604/3071/5501/1399/10627/4893/5058/5894/23533/3687/7414/10094/10092"
"KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION","KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION",44,-0.35268898074302,-2.28755384451525,0.000377891302636684,0.00190457216528889,0.000970583977298429,5044,"tags=59%, list=31%, signal=41%","5578/7277/4690/81873/203068/8440/7099/8976/10552/10109/1499/10383/7100/387/998/84617/25/7430/2534/7454/929/9181/10094/10092/3059/7534"
"KEGG_APOPTOSIS","KEGG_APOPTOSIS",80,-0.286087349796922,-2.25058207742688,0.00036402797296556,0.00190457216528889,0.000970583977298429,6301,"tags=61%, list=38%, signal=38%","1439/5530/5970/54205/596/355/8517/5573/11213/839/1676/5613/3553/9131/472/840/3556/5577/9941/3656/4615/5294/3551/581/317/10000/330/5295/329/637/5296/836/5533/3554/5566/9020/841/8837/5567/3654/51135/8743/5293/5532/5576/7132/8795/23533/824"
"KEGG_CITRATE_CYCLE_TCA_CYCLE","KEGG_CITRATE_CYCLE_TCA_CYCLE",27,-0.413843626762795,-2.23115747659249,0.000488096763659902,0.00236539200850568,0.00120542115721676,6092,"tags=74%, list=37%, signal=47%","3418/3420/5106/1737/6389/5160/1743/8803/4967/8802/2271/3417/6391/5162/3419/4190/50/8801/47/6390"
"KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT","KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT",36,-0.376633705204309,-2.27499432193717,0.000559059072799665,0.00260894233973177,0.00132953619652162,5287,"tags=64%, list=32%, signal=43%","10228/55850/6811/10652/9527/8675/8677/10791/9554/6810/55014/143187/8674/9482/9570/6809/8417/8673/8773/10490/6845/9341/8676"
"KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY","KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY",95,-0.259692069262685,-2.13217014467634,0.000599188267320549,0.00269634720294247,0.00137407835738923,2902,"tags=37%, list=18%, signal=31%","2214/5295/637/5296/836/3937/2185/5533/7410/3460/3383/51744/10870/5879/962/2534/8743/5293/5532/6850/6452/5594/5604/5579/8795/4893/3106/5058/5894/23533/3105/3107/5777/7305/3133"
"KEGG_MTOR_SIGNALING_PATHWAY","KEGG_MTOR_SIGNALING_PATHWAY",44,-0.337075500338986,-2.18628422999748,0.000781060928658992,0.00339357506934597,0.00172939080392735,3856,"tags=50%, list=23%, signal=38%","5294/9706/92335/10000/6198/5295/8408/5296/6794/7248/1977/54541/57521/9470/5170/5293/2475/1975/7422/5594/23533/6194"
"KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY","KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY",54,-0.299162995788378,-2.09158993844699,0.00118307913137594,0.00496893235177896,0.00253220445662921,6100,"tags=59%, list=37%, signal=37%","5970/4793/29108/5599/8517/10454/58484/3553/6347/84674/3606/3551/114548/330/329/64170/7189/23118/841/3326/7184/10910/1432/22900/22861/9051/5594/64127/8767/4210/3320/3576"
"KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY","KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY",59,-0.290949744727935,-2.07130272971036,0.0015286192224957,0.00621309748498251,0.00316624015525425,2816,"tags=39%, list=17%, signal=32%","5608/5295/5296/3937/5580/5581/7410/6416/695/9846/1432/5879/3635/5170/2534/5293/6850/5594/5604/5579/4893/5894/23533"
"KEGG_LEISHMANIA_INFECTION","KEGG_LEISHMANIA_INFECTION",63,-0.286075829256991,-2.08561280338116,0.00266010881722656,0.0101567791203196,0.00517596930943606,6442,"tags=60%, list=39%, signal=37%","6772/718/3689/5970/4793/10454/9103/3553/65108/2353/3108/4615/7099/3684/2214/3113/3127/4689/7189/3460/2212/23118/3676/3123/3654/653361/2209/1432/3109/7040/51135/5594/3122/4688/5579/3115/5777/5743"
"KEGG_RENAL_CELL_CARCINOMA","KEGG_RENAL_CELL_CARCINOMA",61,-0.28677775722647,-2.06994890013005,0.00261595456289253,0.0101567791203196,0.00517596930943606,4996,"tags=51%, list=30%, signal=35%","5062/2885/3091/54583/369/5294/112398/5908/10000/5295/5296/6921/2271/998/7428/9978/5879/7040/6923/5293/7422/5594/5604/405/1399/4893/5058/5894/5906/23533/2889"
"KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION","KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION",35,-0.331836319381431,-1.97642632806085,0.00345204765501796,0.012792882486243,0.00651934696458501,5241,"tags=60%, list=32%, signal=41%","396/84516/10488/5613/5878/5868/9586/1781/1639/1385/6810/5566/64764/5567/8655/4905/397/5869/51143/10540/8766"
"KEGG_MAPK_SIGNALING_PATHWAY","KEGG_MAPK_SIGNALING_PATHWAY",178,-0.186911063288193,-1.78595468507057,0.00417296424539814,0.0150226712834333,0.0076556637283996,5483,"tags=44%, list=33%, signal=30%","4215/355/80824/6197/55799/8517/10454/5606/5578/5062/2885/5613/3553/5871/9344/22808/2353/8491/5495/4208/23162/9175/6237/3312/2005/1849/3551/5908/10000/9448/1844/11221/5608/51701/4216/1326/836/1848/1845/5533/3554/8550/5566/5607/7850/9020/5598/5971/7189/23118/9261/6416/998/5567/2317/2768/6722/409/8649/1432/5879/7040/929/5532/8569/5594/5604/468/7046/7132/1399/5579/4893/3164/5058/5894/5906/7048/2316"
"KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION","KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION",27,-0.364636759538647,-1.96586821609174,0.00434718463215493,0.0152151462125423,0.00775375036729388,5044,"tags=56%, list=31%, signal=39%","5578/23327/481/5294/483/5295/5296/5170/5293/3643/5594/8660/476/5579/23533"
"KEGG_CHRONIC_MYELOID_LEUKEMIA","KEGG_CHRONIC_MYELOID_LEUKEMIA",67,-0.260384386222892,-1.94432604742642,0.00687545812009172,0.0234137222467988,0.0119318049879259,2758,"tags=42%, list=17%, signal=35%","5294/613/3551/10000/5295/3065/861/5296/1021/4193/1488/9846/25/7040/6776/1027/5293/867/5594/5604/7046/1399/6777/4893/5894/1026/23533/7048"
"KEGG_CHEMOKINE_SIGNALING_PATHWAY","KEGG_CHEMOKINE_SIGNALING_PATHWAY",136,-0.20367503166867,-1.84123277189815,0.00718984162697954,0.0238400011841953,0.0121490398683034,3878,"tags=37%, list=24%, signal=28%","1234/5294/7852/5473/8976/3551/5908/2790/10000/2773/5295/5296/2185/5580/7410/5566/2309/6773/5747/387/998/5567/7074/409/653361/5879/59345/1524/729230/2932/7454/5293/113/5594/5604/2787/58191/54331/1399/5579/6777/4893/5058/5894/5906/23533/1230/57580/6774/3576"
"KEGG_ACUTE_MYELOID_LEUKEMIA","KEGG_ACUTE_MYELOID_LEUKEMIA",53,-0.273394062680388,-1.89806961587352,0.00741787996594078,0.023965458351501,0.0122129737630874,3902,"tags=43%, list=24%, signal=33%","5371/2322/5294/5467/3728/3551/10000/6198/5295/861/7704/5296/6776/5293/2475/5594/5604/6777/4893/5894/5914/23533/6774"
"KEGG_PPAR_SIGNALING_PATHWAY","KEGG_PPAR_SIGNALING_PATHWAY",40,-0.304592948201029,-1.90937206256975,0.00910739167661636,0.0286882837813415,0.0146197603229894,7340,"tags=70%, list=45%, signal=39%","10062/6256/1375/10999/6319/336/1374/8310/34/5106/5360/948/5468/6257/2171/9415/2180/5467/5465/4973/2181/7316/51703/30/6342/5170/1593/51"
"KEGG_GLIOMA","KEGG_GLIOMA",49,-0.280544467973027,-1.9073986121256,0.0108946191774186,0.0324142160838707,0.0165185228163418,718,"tags=27%, list=4%, signal=25%","817/5293/2475/5728/801/5594/5604/5579/4893/5894/1026/23533/805"
"KEGG_ADHERENS_JUNCTION","KEGG_ADHERENS_JUNCTION",56,-0.268212816554948,-1.90098156165776,0.0106742785648416,0.0324142160838707,0.0165185228163418,3588,"tags=43%, list=22%, signal=34%","8976/81/3480/1459/1500/1499/51701/6714/387/998/1460/1457/5879/2534/7454/3643/87/5594/5795/7046/5770/7414/5777/7048"
"KEGG_FOCAL_ADHESION","KEGG_FOCAL_ADHESION",129,-0.193496866245473,-1.72225015934498,0.0110619943778289,0.0324142160838707,0.0165185228163418,3432,"tags=33%, list=21%, signal=27%","81/3480/5908/7057/10000/1499/330/5295/329/4636/56034/5296/7410/5747/6714/387/3676/998/2317/103910/5879/5170/2932/2534/5293/5728/7422/87/5594/1729/5604/5501/1399/5579/10627/5058/5894/5906/23533/2889/7414/824/2316"
"KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY","KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY",68,-0.237549371203884,-1.77004028285885,0.0117453712104493,0.0336344721026501,0.0171403742544834,6161,"tags=53%, list=38%, signal=33%","5530/5970/975/4793/7409/8517/2885/8519/4772/2353/5294/2213/3551/10000/5295/5296/5533/7410/4794/695/8915/118788/5879/3635/2932/5293/5532/6850/5594/5604/5579/11025/4893/5894/23533/5777"
"KEGG_CYSTEINE_AND_METHIONINE_METABOLISM","KEGG_CYSTEINE_AND_METHIONINE_METABOLISM",27,-0.33448284285086,-1.80329923516343,0.0129039206917327,0.0361309779368516,0.0184126119811859,4854,"tags=56%, list=30%, signal=39%","4507/51074/1788/3939/58478/23382/2806/1786/262/55256/4548/4144/27430/3945/10768"
"KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION","KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION",56,-0.263296381700141,-1.86613590391432,0.0131957145618415,0.0361447833650442,0.0184196473288863,6704,"tags=59%, list=41%, signal=35%","533/5336/90423/537/5970/535/5599/10312/8517/1445/9296/51606/3551/523/23545/245973/836/529/9020/6714/51382/528/6416/998/1432/5879/50848/526/8992/9550/5058/1839/3576"
"KEGG_PROSTATE_CANCER","KEGG_PROSTATE_CANCER",72,-0.235815808807907,-1.78864781875758,0.0143853141417177,0.0385648847203495,0.0196529487714396,3392,"tags=38%, list=21%, signal=30%","3480/3551/10000/1499/1385/5295/56034/5296/4193/64764/3326/7184/5170/2932/1027/5293/2475/5728/2308/5594/5604/468/4893/5894/1026/23533/3320"
"KEGG_GNRH_SIGNALING_PATHWAY","KEGG_GNRH_SIGNALING_PATHWAY",66,-0.237918234536624,-1.76963849859577,0.0168162972134964,0.0432419071204192,0.0220363937706397,2816,"tags=33%, list=17%, signal=28%","5608/4216/2185/5580/5566/6714/5598/6416/998/5567/1432/817/113/801/5594/5604/468/5579/4893/5894/1839/805"
"KEGG_LONG_TERM_POTENTIATION","KEGG_LONG_TERM_POTENTIATION",48,-0.261912457747468,-1.76364379065632,0.0165364369498744,0.0432419071204192,0.0220363937706397,718,"tags=25%, list=4%, signal=24%","817/5532/801/5594/5604/468/5501/5579/4893/5894/5906/805"
"KEGG_ALLOGRAFT_REJECTION","KEGG_ALLOGRAFT_REJECTION",28,-0.314069690072452,-1.73316669097769,0.0184146521699279,0.0464049234682182,0.0236482901550653,2685,"tags=39%, list=16%, signal=33%","3113/3127/3123/3109/3134/3122/3106/3105/3115/3107/3133"
"KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY","KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY",81,-0.223238751106313,-1.76194339832912,0.0191202240798559,0.0464106177724167,0.0236511920143477,6604,"tags=56%, list=40%, signal=33%","54472/6348/6772/1513/958/5970/5599/114609/8517/10454/5606/148022/3553/2353/353376/4615/5294/3663/7099/3551/10000/10333/5608/5295/1326/5296/7100/7189/23118/51284/6416/841/3654/3665/1432/5879/51135/7096/929/5293/5594/5604/51311/23533/3576"
"KEGG_P53_SIGNALING_PATHWAY","KEGG_P53_SIGNALING_PATHWAY",57,-0.245013921692319,-1.73814331234847,0.0191535882870291,0.0464106177724167,0.0236511920143477,6596,"tags=58%, list=40%, signal=35%","1643/50484/6477/7249/54205/355/4194/83667/5366/55240/900/51246/472/27244/894/8493/7057/581/317/25898/637/836/143686/3732/1021/901/64326/4193/841/64393/5728/8795/1026"
"KEGG_FATTY_ACID_METABOLISM","KEGG_FATTY_ACID_METABOLISM",31,-0.298422570613632,-1.69923236751678,0.0208496946869901,0.0495671986898254,0.0252598088561349,8269,"tags=74%, list=50%, signal=37%","224/217/39/1375/3033/1374/1632/8310/34/1892/128/3032/223/36/38/2180/2181/37/51703/30/10449/51/3030"
